Order,Trial,Trial_Type,Stimulus,Trial_Length_in_Seconds
A,1,rest,stimuli/silence.wav,14
null,2,Intact,stimuli/int/06_int.wav,18
null,3,Degraded,stimuli/degr/14_degr.wav,18
null,4,Degraded,stimuli/degr/21_degr.wav,18
null,5,Intact,stimuli/int/01_int.wav,18
null,6,rest,stimuli/silence.wav,14
null,7,Degraded,stimuli/degr/16_degr.wav,18
null,8,Intact,stimuli/int/08_int.wav,18
null,9,Degraded,stimuli/degr/22_degr.wav,18
null,10,Intact,stimuli/int/03_int.wav,18
null,11,rest,stimuli/silence.wav,14
null,12,Intact,stimuli/int/09_int.wav,18
null,13,Degraded,stimuli/degr/04_degr.wav,18
null,14,Intact,stimuli/int/10_int.wav,18
null,15,Degraded,stimuli/degr/29_degr.wav,18
null,16,rest,stimuli/silence.wav,14
null,17,Degraded,stimuli/degr/17_degr.wav,18
null,18,Intact,stimuli/int/13_int.wav,18
null,19,Intact,stimuli/int/11_int.wav,18
null,20,Degraded,stimuli/degr/30_degr.wav,18
null,21,rest,stimuli/silence.wav,14
B,22,rest,stimuli/silence.wav,14
null,23,Intact,stimuli/int/18_int.wav,18
null,24,Degraded,stimuli/degr/19_degr.wav,18
null,25,Degraded,stimuli/degr/25_degr.wav,18
null,26,Intact,stimuli/int/26_int.wav,18
null,27,rest,stimuli/silence.wav,14
null,28,Degraded,stimuli/degr/12_degr.wav,18
null,29,Intact,stimuli/int/23_int.wav,18
null,30,Degraded,stimuli/degr/05_degr.wav,18
null,31,Intact,stimuli/int/20_int.wav,18
null,32,rest,stimuli/silence.wav,14
null,33,Intact,stimuli/int/31_int.wav,18
null,34,Degraded,stimuli/degr/27_degr.wav,18
null,35,Intact,stimuli/int/15_int.wav,18
null,36,Degraded,stimuli/degr/07_degr.wav,18
null,37,rest,stimuli/silence.wav,14
null,38,Degraded,stimuli/degr/32_degr.wav,18
null,39,Intact,stimuli/int/24_int.wav,18
null,40,Intact,stimuli/int/02_int.wav,18
null,41,Degraded,stimuli/degr/28_degr.wav,18
null,42,rest,stimuli/silence.wav,14
