58.0894 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
58.6052 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1154ffdd0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
58.6536 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
58.6619 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Waiting for the experimenter.', units=u'norm', win=Window(...), wrapWidth=1.5)
58.6677 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Waiting for the scanner.', units=u'norm', win=Window(...), wrapWidth=1.5)
58.6713 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.15, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1.5)
58.6774 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.15, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Thanks!', units=u'norm', win=Window(...), wrapWidth=1.5)
58.6789 	EXP 	window1: blendMode = 'avg'
59.4656 	DATA 	Keypress: space
59.4671 	EXP 	window1: blendMode = 'avg'
220.7871 	DATA 	Keypress: num_add
220.8120 	EXP 	Set  sound=stimuli/silence.wav
220.8141 	EXP 	Set  sound=stimuli/int/18_int.wav
220.8169 	EXP 	Set  sound=stimuli/degr/19_degr.wav
220.8189 	EXP 	Set  sound=stimuli/degr/25_degr.wav
220.8210 	EXP 	Set  sound=stimuli/int/26_int.wav
220.8231 	EXP 	Set  sound=stimuli/degr/12_degr.wav
220.8251 	EXP 	Set  sound=stimuli/int/23_int.wav
220.8271 	EXP 	Set  sound=stimuli/degr/05_degr.wav
220.8289 	EXP 	Set  sound=stimuli/int/20_int.wav
220.8308 	EXP 	Set  sound=stimuli/int/31_int.wav
220.8330 	EXP 	Set  sound=stimuli/degr/27_degr.wav
220.8350 	EXP 	Set  sound=stimuli/int/15_int.wav
220.8371 	EXP 	Set  sound=stimuli/degr/07_degr.wav
220.8390 	EXP 	Set  sound=stimuli/degr/32_degr.wav
220.8409 	EXP 	Set  sound=stimuli/int/24_int.wav
220.8427 	EXP 	Set  sound=stimuli/int/02_int.wav
220.8447 	EXP 	Set  sound=stimuli/degr/28_degr.wav
220.8453 	EXP 	window1: blendMode = 'avg'
220.8586 	EXP 	Sound  started
221.7867 	DATA 	Keypress: num_add
222.7870 	DATA 	Keypress: num_add
223.7869 	DATA 	Keypress: num_add
224.7865 	DATA 	Keypress: num_add
225.7866 	DATA 	Keypress: num_add
226.7867 	DATA 	Keypress: num_add
227.7867 	DATA 	Keypress: num_add
228.7869 	DATA 	Keypress: num_add
229.7866 	DATA 	Keypress: num_add
230.7863 	DATA 	Keypress: num_add
231.7862 	DATA 	Keypress: num_add
232.7864 	DATA 	Keypress: num_add
233.7864 	DATA 	Keypress: num_add
234.7863 	DATA 	Keypress: num_add
234.8601 	EXP 	Sound  started
235.7860 	DATA 	Keypress: num_add
236.7862 	DATA 	Keypress: num_add
237.7862 	DATA 	Keypress: num_add
238.7863 	DATA 	Keypress: num_add
239.7862 	DATA 	Keypress: num_add
240.7870 	DATA 	Keypress: num_add
241.7871 	DATA 	Keypress: num_add
242.7869 	DATA 	Keypress: num_add
243.7872 	DATA 	Keypress: num_add
244.7872 	DATA 	Keypress: num_add
245.7875 	DATA 	Keypress: num_add
246.7870 	DATA 	Keypress: num_add
247.7868 	DATA 	Keypress: num_add
248.7868 	DATA 	Keypress: num_add
249.7866 	DATA 	Keypress: num_add
250.7866 	DATA 	Keypress: num_add
251.7865 	DATA 	Keypress: num_add
252.7866 	DATA 	Keypress: num_add
252.8615 	EXP 	Sound  started
253.7867 	DATA 	Keypress: num_add
254.7863 	DATA 	Keypress: num_add
255.7863 	DATA 	Keypress: num_add
256.7865 	DATA 	Keypress: num_add
257.7864 	DATA 	Keypress: num_add
258.7864 	DATA 	Keypress: num_add
259.7863 	DATA 	Keypress: num_add
260.7865 	DATA 	Keypress: num_add
261.7862 	DATA 	Keypress: num_add
262.7861 	DATA 	Keypress: num_add
263.7861 	DATA 	Keypress: num_add
264.7860 	DATA 	Keypress: num_add
265.7860 	DATA 	Keypress: num_add
266.7873 	DATA 	Keypress: num_add
267.7871 	DATA 	Keypress: num_add
268.7872 	DATA 	Keypress: num_add
269.7868 	DATA 	Keypress: num_add
270.7868 	DATA 	Keypress: num_add
270.8626 	EXP 	Sound  started
271.7871 	DATA 	Keypress: num_add
272.7871 	DATA 	Keypress: num_add
273.7866 	DATA 	Keypress: num_add
274.7869 	DATA 	Keypress: num_add
275.7867 	DATA 	Keypress: num_add
276.7865 	DATA 	Keypress: num_add
277.7864 	DATA 	Keypress: num_add
278.7865 	DATA 	Keypress: num_add
279.7869 	DATA 	Keypress: num_add
280.7867 	DATA 	Keypress: num_add
281.7864 	DATA 	Keypress: num_add
282.7871 	DATA 	Keypress: num_add
283.7863 	DATA 	Keypress: num_add
284.7864 	DATA 	Keypress: num_add
285.7868 	DATA 	Keypress: num_add
286.7867 	DATA 	Keypress: num_add
287.7867 	DATA 	Keypress: num_add
288.7862 	DATA 	Keypress: num_add
288.8638 	EXP 	Sound  started
289.7864 	DATA 	Keypress: num_add
290.7860 	DATA 	Keypress: num_add
291.7860 	DATA 	Keypress: num_add
292.7862 	DATA 	Keypress: num_add
293.7872 	DATA 	Keypress: num_add
294.7869 	DATA 	Keypress: num_add
295.7871 	DATA 	Keypress: num_add
296.7870 	DATA 	Keypress: num_add
297.7868 	DATA 	Keypress: num_add
298.7868 	DATA 	Keypress: num_add
299.7868 	DATA 	Keypress: num_add
300.7867 	DATA 	Keypress: num_add
301.7868 	DATA 	Keypress: num_add
302.7867 	DATA 	Keypress: num_add
303.7867 	DATA 	Keypress: num_add
304.7868 	DATA 	Keypress: num_add
305.7867 	DATA 	Keypress: num_add
306.7865 	DATA 	Keypress: num_add
306.8651 	EXP 	Sound  started
307.7865 	DATA 	Keypress: num_add
308.7865 	DATA 	Keypress: num_add
309.7863 	DATA 	Keypress: num_add
310.7866 	DATA 	Keypress: num_add
311.7867 	DATA 	Keypress: num_add
312.7862 	DATA 	Keypress: num_add
313.7864 	DATA 	Keypress: num_add
314.7864 	DATA 	Keypress: num_add
315.7861 	DATA 	Keypress: num_add
316.7864 	DATA 	Keypress: num_add
317.7861 	DATA 	Keypress: num_add
318.7860 	DATA 	Keypress: num_add
319.7863 	DATA 	Keypress: num_add
320.7872 	DATA 	Keypress: num_add
320.8663 	EXP 	Sound  started
321.7872 	DATA 	Keypress: num_add
322.3081 	DATA 	Keypress: 1
322.7870 	DATA 	Keypress: num_add
323.7869 	DATA 	Keypress: num_add
324.7869 	DATA 	Keypress: num_add
325.7868 	DATA 	Keypress: num_add
326.7868 	DATA 	Keypress: num_add
327.7869 	DATA 	Keypress: num_add
328.7870 	DATA 	Keypress: num_add
329.7868 	DATA 	Keypress: num_add
330.7865 	DATA 	Keypress: num_add
331.7866 	DATA 	Keypress: num_add
332.7869 	DATA 	Keypress: num_add
333.7867 	DATA 	Keypress: num_add
334.7863 	DATA 	Keypress: num_add
335.7865 	DATA 	Keypress: num_add
336.7867 	DATA 	Keypress: num_add
337.7862 	DATA 	Keypress: num_add
338.7866 	DATA 	Keypress: num_add
338.8678 	EXP 	Sound  started
