,all_keys_pressed,trial_type,running_time
0,,rest,14.071441888809204
1,,Intact,32.07305598258972
2,,Degraded,50.07416105270386
3,,Degraded,68.07527685165405
4,,Intact,86.07652497291565
5,,rest,100.0779550075531
6,['1'],Degraded,118.07937288284302
7,['1'],Intact,136.08046197891235
8,['1'],Degraded,154.08172297477722
9,['1'],Intact,172.08314299583435
10,,rest,186.08473086357117
11,,Intact,204.08617305755615
12,,Degraded,222.0875780582428
13,,Intact,240.08915996551514
14,['1'],Degraded,258.0902678966522
15,['1'],rest,272.09153485298157
16,,Degraded,290.09282088279724
17,['1'],Intact,308.09416484832764
18,['1'],Intact,326.09561586380005
19,['1'],Degraded,344.09697103500366
20,,rest,358.0982189178467
