,all_keys_pressed,trial_type,running_time
0,,rest,14.102710962295532
1,,Intact,32.104403018951416
2,['1'],Degraded,50.1054790019989
3,['1'],Degraded,68.10661387443542
4,['1'],Intact,86.10790586471558
5,,rest,100.10898995399475
6,['1'],Degraded,118.11017990112305
7,['1'],Intact,136.1114799976349
8,['1'],Degraded,154.11296582221985
9,['1'],Intact,172.11458086967468
10,,rest,186.1168999671936
11,['1'],Intact,204.11857795715332
12,['1'],Degraded,222.11974692344666
13,['1'],Intact,240.12129592895508
14,['1'],Degraded,258.1226558685303
15,,rest,272.12401580810547
16,['1'],Degraded,290.12542700767517
17,['1'],Intact,308.12650084495544
18,['1'],Intact,326.1277439594269
19,['1'],Degraded,344.1293339729309
20,,rest,358.13056993484497
21,,rest,14.000218152999878
22,['1'],Intact,32.001660108566284
23,['1'],Degraded,50.00311899185181
24,,Degraded,68.00460720062256
25,['1'],Intact,86.00598001480103
26,,rest,100.00734400749207
27,['1'],Degraded,118.00879406929016
28,['1'],Intact,136.01013112068176
29,['1'],Degraded,154.01124715805054
30,['1'],Intact,172.01234912872314
31,,rest,186.01377511024475
32,['1'],Intact,204.0153830051422
33,['1'],Degraded,222.0167191028595
34,['1'],Intact,240.01779699325562
35,['1'],Degraded,258.01903319358826
36,,rest,272.02032804489136
37,['1'],Degraded,290.02170419692993
38,['1'],Intact,308.0233201980591
39,['1'],Intact,326.0243489742279
40,['1'],Degraded,344.02557611465454
41,,rest,358.0274441242218
